voce_id,voce_label,sezione,categoria,societa_id,fonte,cod_conto_pattern,cod_conto_pat2,cod_conto_pat3,banca_tipo_pat,ord,bu_filter,categoria_ce,tipo_costo
ENTRATE_AFFITTI_INTUR,Canone Affitto Ramo Azienda (ORTI→INTUR),ENTRATE,Affitti,INTUR,ESOLVER,53,,,,10,,Ricavi,IP
ENTRATE_SPIAGGIA,Entrate Spiaggia (clienti esterni),ENTRATE,Ricavi,INTUR,ESOLVER,4794,,,,20,LIDO,Ricavi,IP
ENTRATE_SPIAGGIA_ORTI,Spiaggia Alloggiati (Hotel+Res+CVM),ENTRATE,Ricavi,ORTI,ESOLVER,479401,479402,479403,,25,,Ricavi,IP
ENTRATE_AFFITTI_MINORI,Affitti Minori (Farmacia e altri),ENTRATE,Affitti,INTUR,ESOLVER,4795,,,,30,,Ricavi,IP
ENTRATE_CAPARRE_INTUR,Caparre (da girare),ENTRATE,Caparre,INTUR,ESOLVER,390521,,,,40,,Ricavi,IP
ENTRATE_HOTEL,Entrate Hotel,ENTRATE,Ricavi,ORTI,ESOLVER,4791,,,,60,HOTEL,Ricavi,IP
ENTRATE_RESIDENCE,Entrate Residence,ENTRATE,Ricavi,ORTI,ESOLVER,4792,,,,70,RESIDENCE,Ricavi,IP
ENTRATE_CVM,Entrate CVM,ENTRATE,Ricavi,ORTI,ESOLVER,4793,,,,80,CVM,Ricavi,IP
ENTRATE_SUPERMERCATO,Entrate Supermercato,ENTRATE,Ricavi,ORTI,ESOLVER,4795,,,,90,,Ricavi,IP
ENTRATE_RIENTRO_SOSPESI,Rientro Sospesi,ENTRATE,Banca,ORTI,BANCHE,,,,SOSPESI,100,,Ricavi,IP
ENTRATE_CAPARRE,Caparre da Intur,ENTRATE,Caparre,ORTI,ESOLVER,390521,,,,110,,Ricavi,IP
USCITE_SALARI,Salari e Stipendi,USCITE,Personale,,ESOLVER,67,,,,200,,Costi del Personale,P
USCITE_UTENZE,Utenze (Energia+Acqua+Gas+Tel+Internet),USCITE,Utenze,,ESOLVER,5709,,,,210,,Costi Produttivi,F
USCITE_MATERIE_PRIME,Materie Prime / Consumo,USCITE,Acquisti,,ESOLVER,55,,,,250,,Costi Produttivi,V
USCITE_TASSE,Tasse e Imposte,USCITE,Fiscale,,ESOLVER,63051,710104,710107,,260,,Oneri Tributari,F
USCITE_MUTUI,Mutui e Finanziamenti (rate mensili),USCITE,Finanziario,,BANCHE,,,,PAGAMENTO RATA,270,,Oneri Finanziari,X
USCITE_MUTUI_SEMESTRALE,Rimborso Finanziamenti (semestrale),USCITE,Finanziario,ORTI,BANCHE,,,,RIMBORSO FINANZIAMENTI,275,,Oneri Finanziari,X
USCITE_SPESE_BANCARIE,Commissioni e Spese Bancarie,USCITE,Finanziario,,ESOLVER,7501,,,,278,,Oneri Finanziari,X
USCITE_CONSULENZE,Consulenze e Marketing,USCITE,Consulenze,,ESOLVER,6101,650604,,,280,,Costi Amministrativi,F
USCITE_GODIMENTO_BENI,Godimento Beni di Terzi (Fitti Passivi),USCITE,Godimento Beni,,ESOLVER,650105,,,,290,,Costi Produttivi,F
USCITE_COMMISSIONI,Commissioni OTA e Portali,USCITE,Commissioni,ORTI,ESOLVER,570101,570151,6302,,300,,Costi Commerciali,V
USCITE_CANONI,Canoni e Servizi,USCITE,Canoni,,ESOLVER,6503,6505,6590,,310,,Costi Produttivi,F
USCITE_CANONE_PASSIVO,Canone Affitto Ramo Azienda (INTUR→ORTI),USCITE,Affitti,ORTI,ESOLVER,6511,,,,315,,Costi Produttivi,F
USCITE_DEPOSITO_FITTO,Deposito Fitto (una tantum),USCITE,Affitti,,MANUALE,,,,,325,,,F
USCITE_MARKETING,Marketing e Pubblicità,USCITE,Marketing,,ESOLVER,6304,,,,316,,Costi Commerciali,V
USCITE_SERVIZI_PRODUZIONE,Servizi per la Produzione,USCITE,Servizi,,ESOLVER,570150,570190,,,317,,Costi Produttivi,V
USCITE_VARIE,Varie ed Eventuali,USCITE,Varie,,ESOLVER,6301,63059,640503,,320,,Costi Produttivi,V
USCITE_VARIE_EXT,Varie ed Eventuali,USCITE,Varie,,ESOLVER,5711,5903,71019,,321,,Costi Produttivi,V
