room_id,piano,cod_camera,tipologia,occupazione,pax_max,vista,esposizione,affaccio,doccia_vasca,letto_principale,letto_secondario,bagno_fa,comunicante_con,note,business_unit_id,societa_id
H101,1,TSTA,Standard,Tripla,3,Vista Città,Lato Amalfi Strada,Finestra,Doccia,Twin Reg 170x195,Single Reg 85x195,A,,,HOTEL,ORTI
H102,1,TSTA,Standard,Tripla,3,Vista Città,Lato Amalfi Strada,Finestra,Doccia,Twin Reg 170x195,Single Reg 85x195,A,,,HOTEL,ORTI
H103,1,DSTA,Standard,Doppia,2,Vista Città,Lato Amalfi Strada,Finestra,Doccia,Twin Reg 170x195,Single Reg 85x195,A,,,HOTEL,ORTI
H104,1,DSTA,Standard,Doppia,2,Vista Città,Lato Amalfi Interna,Finestra,Doccia,Twin Reg 170x195,Single Reg 85x195,F,,,HOTEL,ORTI
H105,1,TCLP,Classic plus,Tripla,3,Vista Città,Lato Amalfi Interna,Finestra,Doccia,Twin Reg 170x195,Single Reg 85x195,A,,Vasca idromassaggio esterna (distingue la Classic plus),HOTEL,ORTI
H106,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,F,H107,,HOTEL,ORTI
H107,1,DSTA,Standard,Doppia,2,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,,A,H106,,HOTEL,ORTI
H108,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,A,H109,,HOTEL,ORTI
H109,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,A,H108,,HOTEL,ORTI
H110,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,A,H111,,HOTEL,ORTI
H111,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,A,H110,,HOTEL,ORTI
H112,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,A,,,HOTEL,ORTI
H114,1,TSUP,Superior,Tripla,3,Fronte Mare,Mare,Balcone,Doccia,Twin Reg 170x195,Single Reg 85x195,A,,,HOTEL,ORTI
H115,1,DDLX,Deluxe,Doppia,2,Fronte Mare,Mare,Balcone,Doccia,Mat Queen 180x200,,A,,,HOTEL,ORTI
H116,1,DDLX,Deluxe,Doppia,2,Fronte Mare,Mare,Balcone,Doccia,Mat Queen 180x200,,A,,,HOTEL,ORTI
H118,1,LSUI,Luxury Suite,Doppia,2,Fronte Mare,Mare,Balcone,Doccia + Vasca Idro,Mat King 200x200,,F,,,HOTEL,ORTI
H119,1,DEXE,Executive,Doppia,2,Vista Mare Laterale,Lato Vietri Strada,Balcone,Doccia,Mat Queen 180x200,,A,,,HOTEL,ORTI
H120,1,DEXE,Executive,Doppia,2,Vista Mare Laterale,Lato Vietri Strada,Balcone,Doccia,Mat Queen 180x200,,A,,,HOTEL,ORTI
H121,1,DEXE,Executive,Doppia,2,Vista Mare Laterale,Lato Vietri Strada,Balcone,Doccia,Mat Queen 180x200,,A,,,HOTEL,ORTI
H122,1,DCLA,Classic,Doppia,2,Vista Città,Lato Vietri Strada,Finestra,Doccia,Mat Queen 180x200,,A,,,HOTEL,ORTI
