codice_conto,descrizione
03,IMMOBILIZZAZIONI IMMATERIALI
03.01,COSTI D'IMPIANTO E DI AMPLIAMENTO
03.03,BENI IMMATERIALI
03.05,SPESE PLURIENNALI
05,IMMOBILIZZAZIONI MATERIALI
05.01,TERRENI E FABBRICATI
05.03,IMPIANTI E MACCHINARI
05.05,ATTREZZATURE INDUSTRIALI E COMMERCIALI
05.07,ALTRE IMMOBILIZZAZIONI MATERIALI
11,CREDITI COMMERCIALI
11.01,FATTURE/NOTE CREDITO DA EMETTERE
11.03,CLIENTI
11.13,PARTITE ATTIVE DA LIQUIDARE
15,CREDITI VARI
15.01,ANTICIPI A FORNITORI
15.05,CREDITI VARI V/TERZI
15.07,CREDITI VERSO IL PERSONALE
15.09,CREDITI VERSO ENTI PREVIDENZIALI
19,DISPONIBILITA' LIQUIDE
19.01,BANCHE C/C E POSTA C/C
19.03,CASSA
19.90,TRANSITO POS
21,RATEI E RISCONTI ATTIVI
21.01,RATEI E RISCONTI ATTIVI
23,CAPITALE E RISERVE
23.01,CAPITALE E RISERVE
23.01.01,Capitale sociale
23.01.05,Riserva legale
25,RISULTATI DELL'ESERCIZIO
25.01,RISULTATI PORTATI A NUOVO
25.01.01,Utile portato a nuovo
25.03,RISULTATO D'ESERCIZIO
29,FONDO TFR
29.01,FONDO TFR
31,FINANZIAMENTI DI TERZI
31.03,MUTUI E FINANZIAMENTI
33,DEBITI COMMERCIALI
33.01,FATTURE/NOTE CREDITO DA RICEVERE
33.03,FORNITORI
33.13,PARTITE PASSIVE DA LIQUIDARE
35,CONTI ERARIALI
35.01,ERARIO C/IVA
35.03,ERARIO C/SOSTITUTO D'IMPOSTA
35.05,ERARIO C/RIT. SUBITE E CREDITI D'IMPOSTA
35.07,ERARIO C/IMPOSTE
37,ENTI PREVIDENZIALI
37.01,ENTI PREVIDENZIALI
39,ALTRI DEBITI
39.01,ANTICIPI DA CLIENTI
39.05,DEBITI VARI
39.07,DEBITI VERSO IL PERSONALE
39.09,COMPETENZE SOCI
41,FONDI AMMORTAMENTO IMMOBILIZZAZIONI
41.03,FONDI AMMORTAMENTO FABBRICATI
41.05,FONDI AMMORTAMENTO IMPIANTI E MACCHINARI
