codice_fornitore,nome_esolver,nome_pf,voce_id,is_intercompany,is_excluded,exclude_reason,societa_id
1,LE CROISSANT SRL,Le Croissant srl,USCITE_MATERIE_PRIME,False,False,,ORTI
4,Giacinto Di Palma,Giacinto Di Palma,USCITE_MATERIE_PRIME,False,False,,ORTI
6,BIANCO BUFALA SRL,Bianco Bufala,USCITE_MATERIE_PRIME,False,False,,ORTI
10,SISTEMI SOLUZIONI INFORMATICHE E TELEMATICHE S.P,Sistemi (E_solver),USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
12,PROXIMA SERVICE S.R.L.,Proxima Service,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
14,C&C S.p.A.,,USCITE_MATERIE_PRIME,False,False,,ORTI
18,AUSINO - S.P.A. SERVIZI IDRICI INTEGRATI,Acqua - Ausino,USCITE_UTENZE,False,False,,ORTI
19,AMAZON EU S.A R.L.,,USCITE_MATERIE_PRIME,False,False,,ORTI
30,4G ENERGIA SRL,Energia elettrica,USCITE_UTENZE,False,False,,ORTI
32,DITTA APICELLA,Ditta Apicella,USCITE_MATERIE_PRIME,False,False,,ORTI
41,Giordano Associati S.r.l Socio Unico,Consulenza legale,USCITE_CONSULENZE,False,False,,ORTI
64,PARAVIA ELEVATORS SRL,,USCITE_MATERIE_PRIME,False,False,,ORTI
71,VICART S.R.L.,Vicart,USCITE_MATERIE_PRIME,False,False,,ORTI
74,BELLAGAIA S.R.L.,Bellagaia,USCITE_MATERIE_PRIME,False,False,,ORTI
76,SOFT TECNOLOGY SRL,Soft tecnology,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
80,PISACANE RAFFAELE,,USCITE_MATERIE_PRIME,False,False,,ORTI
81,PLAN ITALIA S.R.L.,,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
83,SANTELIA ANTONIO,Santelia,USCITE_MATERIE_PRIME,False,False,,ORTI
92,AMALFI SEI ESSE S.R.L.,Amalfi sei esse,USCITE_MATERIE_PRIME,False,False,,ORTI
104,PAOLILLO ALDO,,USCITE_MATERIE_PRIME,False,False,,ORTI
128,TECNO PISCINE S.R.L.,Tecno Piscine,USCITE_MATERIE_PRIME,False,False,,ORTI
133,FABBROCINO MICHELE S.R.L.,Fabbrocino Michele,USCITE_MATERIE_PRIME,False,False,,ORTI
145,HOTELSERVICE S.R.L.,Hotel Service,USCITE_MATERIE_PRIME,False,False,,ORTI
146,NINNI S.R.L.,Ninni,USCITE_MATERIE_PRIME,False,False,,ORTI
147,AMATO FILIPPO,Amato Prisco Pane,USCITE_MATERIE_PRIME,False,False,,ORTI
158,GALLO GIOVANNI & C. SNC,Gallo Giovanni,USCITE_MATERIE_PRIME,False,False,,ORTI
161,DI SARNO COFFEE SERVICE DI TERMINIELLO ROSA,Di Sarno Coffee,USCITE_MATERIE_PRIME,False,False,,ORTI
186,L'EUROPEA - ORGANIZZAZIONE NAZIONALE SRL,L'Europea,USCITE_MATERIE_PRIME,False,False,,ORTI
264,PANORAMA COMPANY S.R.L.,Fitto Ramo d' Azienda,USCITE_CANONE_PASSIVO,True,False,,ORTI
