societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_MATERIE_PRIME — Fornitori F&B + materiali
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_MATERIE_PRIME,Le Croissant srl,FORNITORE,1,,LE CROISSANT SRL
ORTI,USCITE_MATERIE_PRIME,Giacinto Di Palma,FORNITORE,4,,Giacinto Di Palma
ORTI,USCITE_MATERIE_PRIME,Bianco Bufala,FORNITORE,6,,BIANCO BUFALA SRL
ORTI,USCITE_MATERIE_PRIME,C&C S.p.A.,FORNITORE,14,,C&C S.p.A.
ORTI,USCITE_MATERIE_PRIME,Amazon,FORNITORE,19,,AMAZON EU S.A R.L.
ORTI,USCITE_MATERIE_PRIME,Ditta Apicella,FORNITORE,32,,DITTA APICELLA
ORTI,USCITE_MATERIE_PRIME,Paravia Elevators,FORNITORE,64,,PARAVIA ELEVATORS SRL
ORTI,USCITE_MATERIE_PRIME,Vicart,FORNITORE,71,,VICART S.R.L.
ORTI,USCITE_MATERIE_PRIME,Bellagaia,FORNITORE,74,,BELLAGAIA S.R.L.
ORTI,USCITE_MATERIE_PRIME,Pisacane Raffaele,FORNITORE,80,,PISACANE RAFFAELE
ORTI,USCITE_MATERIE_PRIME,Santelia Antonio,FORNITORE,83,,SANTELIA ANTONIO
ORTI,USCITE_MATERIE_PRIME,Amalfi sei esse,FORNITORE,92,,AMALFI SEI ESSE S.R.L.
ORTI,USCITE_MATERIE_PRIME,Paolillo Aldo,FORNITORE,104,,PAOLILLO ALDO
ORTI,USCITE_MATERIE_PRIME,Tecno Piscine,FORNITORE,128,,TECNO PISCINE S.R.L.
ORTI,USCITE_MATERIE_PRIME,Fabbrocino Michele,FORNITORE,133,,FABBROCINO MICHELE S.R.L.
ORTI,USCITE_MATERIE_PRIME,Hotel Service,FORNITORE,145,,HOTELSERVICE S.R.L.
ORTI,USCITE_MATERIE_PRIME,Ninni,FORNITORE,146,,NINNI S.R.L.
ORTI,USCITE_MATERIE_PRIME,Amato Prisco Pane,FORNITORE,147,,AMATO FILIPPO
ORTI,USCITE_MATERIE_PRIME,Gallo Giovanni,FORNITORE,158,,GALLO GIOVANNI & C. SNC
ORTI,USCITE_MATERIE_PRIME,Di Sarno Coffee,FORNITORE,161,,DI SARNO COFFEE SERVICE DI TERMINIELLO ROSA
ORTI,USCITE_MATERIE_PRIME,L'Europea,FORNITORE,186,,L'EUROPEA - ORGANIZZAZIONE NAZIONALE SRL
ORTI,USCITE_MATERIE_PRIME,Centro service Snc,FORNITORE,315,,CENTRO SERVICE SNC DI VOCCIA MASSIMO & ANTONIO
ORTI,USCITE_MATERIE_PRIME,Alberto D'Urso,FORNITORE,412,,Alberto D Urso S.a.s. di Tecla Apicella
ORTI,USCITE_MATERIE_PRIME,Cimmini Filomena,FORNITORE,417,,CIMINI FILOMENA
ORTI,USCITE_MATERIE_PRIME,Cica,FORNITORE,423,,CICA SRL
ORTI,USCITE_MATERIE_PRIME,AP Commerciale,FORNITORE,498,,AP COMMERCIALE S.R.L.
ORTI,USCITE_MATERIE_PRIME,Attianese Frutta e Verdura,FORNITORE,667,,ATTIANESE ALFONSO S.A.S. DI ATTIANESE ALFONSO E C.
ORTI,USCITE_MATERIE_PRIME,Affinito,FORNITORE,745,,AFFINITO SRL
ORTI,USCITE_MATERIE_PRIME,Capuano Raffaele,FORNITORE,864,,CAPUANO RAFFAELE
ORTI,USCITE_MATERIE_PRIME,Albergo Santa Chiara,FORNITORE,985,,ALBERGO SANTA CHIARA
ORTI,USCITE_MATERIE_PRIME,Ditta Pansa,FORNITORE,1003,,DITTA PANSA DI G.PANSA E FIGLIO A. PANSA SAS
ORTI,USCITE_MATERIE_PRIME,Miele Giuseppe,FORNITORE,1008,,MIELE GIUSEPPE E FIGLI SPA
ORTI,USCITE_MATERIE_PRIME,Idro-Top,FORNITORE,1035,,IDRO-TOP S.R.L.
ORTI,USCITE_MATERIE_PRIME,I.C.P srl,FORNITORE,1104,,I.C.P. INGROSSO CHIMICA PEPE S.R.L.
ORTI,USCITE_MATERIE_PRIME,Gest. D.M.F.,FORNITORE,1168,,Gest. D.M.F. Srl
ORTI,USCITE_MATERIE_PRIME,Salsano Tiziano,FORNITORE,1230,,Salsano Tiziano
ORTI,USCITE_MATERIE_PRIME,Le Sette Sorelle,FORNITORE,1233,,LE SETTE SORELLE SOCIETA' A RESPONSABILITA' LIMITATA SEMPL
ORTI,USCITE_MATERIE_PRIME,Romano Ciro,FORNITORE,1438,,ROMANO CIRO S.R.L.
ORTI,USCITE_MATERIE_PRIME,Reidos srl,FORNITORE,1543,,REIDOS S.R.L.
